Player,Initial window,Window factor,Average evaluations,Min evaluations,Q1 evaluations,Median evaluations,Q3 evaluations,Maxevaluations,Average time (ms),Min time,Q1 time,Median time,Q3 time,Max time
MAsT_IEV_MI_5,20,2.0,391582,237836,337190,383681,431082,746195,108.121,73.246,95.040,104.890,117.551,195.527
MAsT_IEV_MI_5,20,2.25,386286,243139,338669,379016,422835,799867,106.718,74.058,95.045,104.253,115.895,198.166
MAsT_IEV_MI_5,20,2.5,381678,233046,332760,374427,422388,656363,105.556,71.332,93.838,103.661,114.308,168.247
MAsT_IEV_MI_5,20,2.75,379574,242129,331046,372523,419128,759338,104.662,70.631,93.053,103.013,113.265,206.746
MAsT_IEV_MI_5,20,3.0,378116,232842,331761,370949,414456,660137,104.311,70.960,93.710,102.331,112.703,167.955
MAsT_IEV_MI_5,20,3.5,377660,229401,332596,371601,413365,671836,104.096,69.938,92.850,101.900,112.673,170.363
MAsT_IEV_MI_5,20,4.0,377116,240502,328115,368289,418090,817838,103.490,72.277,92.454,101.789,112.055,183.995
MAsT_IEV_MI_5,20,4.5,374686,246159,329927,366291,410578,743348,102.936,68.736,92.299,101.516,111.478,165.378
MAsT_IEV_MI_5,20,5.0,375590,231528,328916,369320,412931,1086381,103.374,67.965,92.876,101.615,112.271,202.926
MAsT_IEV_MI_5,20,6.0,376626,241934,331834,367570,416775,734971,102.936,72.003,92.521,100.829,111.904,162.990
MAsT_IEV_MI_5,20,7.0,377169,244172,332890,369252,414126,666804,103.176,73.827,92.507,101.750,112.172,172.726
MAsT_IEV_MI_5,20,8.0,373355,245359,327743,365356,411571,678377,102.050,69.789,92.081,100.124,109.976,169.809
MAsT_IEV_MI_5,20,9.0,378986,238158,332210,369128,416694,811815,103.035,69.286,93.012,100.934,111.772,193.955
MAsT_IEV_MI_5,20,10.0,379736,237393,334083,372184,417479,914041,103.248,68.122,93.085,101.955,111.365,222.423
MAsT_IEV_MI_5,20,20.0,372677,239286,330216,365157,410515,703124,101.745,71.732,92.551,100.526,110.300,169.221
MAsT_IEV_MI_5,20,50.0,388161,223333,340117,377743,424745,995507,103.962,67.993,93.706,102.306,111.988,203.637
MAsT_IEV_MI_5,20,100.0,383063,242600,336422,375513,420752,796609,102.643,75.518,92.593,101.289,110.602,191.598
MAsT_IEV_MI_5,20,200.0,371945,236705,325460,366445,407971,664425,100.980,69.074,91.554,99.886,108.854,156.741
MAsT_IEV_MI_5,20,500.0,377165,247925,332786,369958,414342,809668,101.466,72.984,92.461,100.445,109.083,166.576
MAsT_IEV_MI_5,20,1000.0,385770,222685,340323,376845,420524,702024,103.767,70.642,94.261,101.948,111.639,178.463
MAsT_IEV_MI_5,50,1.0,546279,247889,411603,515452,627766,1456446,147.596,73.133,115.087,136.910,167.296,465.403
MAsT_IEV_MI_5,50,1.1,465197,241739,386921,452708,525982,1177878,127.045,76.968,106.281,122.831,140.586,316.208
MAsT_IEV_MI_5,50,1.2,436063,241912,366027,419199,488445,1062838,119.863,70.207,102.577,114.678,131.425,276.321
MAsT_IEV_MI_5,50,1.5,398064,224961,343538,392685,441479,720097,110.303,65.163,97.129,107.298,120.765,204.793
MAsT_IEV_MI_5,50,1.75,392395,245252,346611,384625,428717,755322,108.373,72.713,96.438,106.048,118.469,197.009
MAsT_IEV_MI_5,50,2.0,382976,235682,338139,374093,419288,808350,105.600,70.002,94.403,103.552,113.836,223.542
MAsT_IEV_MI_5,50,2.25,381966,236157,332810,374612,423165,752798,105.211,73.159,93.909,103.099,113.640,173.999
MAsT_IEV_MI_5,50,2.5,379252,237474,329340,372433,415012,877155,105.668,69.641,93.896,102.901,114.503,221.655
MAsT_IEV_MI_5,50,2.75,378219,230808,330726,371876,415078,693143,104.258,68.041,93.132,102.474,113.486,200.968
MAsT_IEV_MI_5,50,3.0,378198,230849,329495,371483,416559,781761,103.884,73.044,93.114,101.514,112.197,163.713
MAsT_IEV_MI_5,50,3.5,375395,216387,328302,366692,414597,836637,103.007,66.258,92.675,100.761,111.216,200.384
MAsT_IEV_MI_5,50,4.0,378386,241370,329882,366670,418497,731314,103.232,61.896,92.364,101.286,112.413,172.612
